Name,Team,Name,Team,Season,Age,W,L,ERA,G,IP,K/9,vFA (pi),ERA,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","TEX","Nathan Eovaldi","TEX",2024,34,12,8,3.796875226311399,29,170.2,8.753906771773504,95.63152639314929,3.796875226311399,0.37376049,95.48469388,0.02860412,85.97333333,0.15217391,91.31578947,0.13729977,76.79166667,,,0.30816171,88.48514851,,,"Nathan Eovaldi",9132,543135
"Nestor Cortes","NYY","Nestor Cortes","NYY",2024,29,9,10,3.768642454290741,31,174.1,8.363288734179452,92.05567741687933,3.768642454290741,0.45665146,92.07302075,0.16602317,78.25792812,0.28080028,87.54625,,,0.0965251,83.62909091,,,,,"Nestor Cortes",17874,641482
"Pablo López","MIN","Pablo López","MIN",2024,28,15,10,4.079136802594762,32,185.1,9.615108177544798,95.10556640625,4.079136802594762,0.48158071,94.99374131,0.21868721,84.50382848,,,0.09979906,82.47651007,0.19993302,88.54438861,,,,,"Pablo Lopez",17085,641154
"Patrick Corbin","WSN","Patrick Corbin","WSN",2024,34,6,13,5.616412540838375,32,174.2,7.1622141575828815,91.37990046121988,5.616412540838375,0.41412742,91.47658863,0.34279778,79.37474747,0.20948753,85.53057851,,,0.03358726,81.09278351,,,,,"Patrick Corbin",9323,571578
"Ronel Blanco","HOU","Ronel Blanco","HOU",2024,30,13,6,2.7968128340158906,30,167.1,8.928287123973805,93.61698084826718,2.7968128340158906,0.38349691,93.50995261,0.30134497,86.43063932,,,0.09378408,80.16666667,0.22137405,85.26436782,,,,,"Ronel Blanco",19407,669854
"Ryan Feltner","COL","Ryan Feltner","COL",2024,27,3,10,4.490759894298887,30,162.1,7.650924264361067,94.78199004305705,4.490759894298887,0.49689682,94.52693208,0.24903026,87.59657321,,,0.10667184,79.34181818,0.14740109,85.26052632,,,,,"Ryan Feltner",21446,663372
"Sean Manaea","NYM","Sean Manaea","NYM",2024,32,12,6,3.4678901024433157,32,181.2,9.115596840708145,92.2266050054407,3.4678901024433157,0.55974633,92.37149672,0.24499332,79.34877384,0.07810414,88.31196581,,,0.11715621,85.35897436,,,,,"Sean Manaea",15873,640455
"Seth Lugo","KCR","Seth Lugo","KCR",2024,34,16,9,3.004838857581298,33,206.2,7.882258452495868,92.34196428571428,3.004838857581298,0.43894602,92.19838946,0.22975578,82.55944056,0.07326478,89.88596491,0.16580977,79.75193798,0.06105398,87.45789474,0.03116967,85.82474227,,,"Seth Lugo",12447,607625
"Shota Imanaga","CHC","Shota Imanaga","CHC",2024,30,15,3,2.907692393015125,29,173.1,9.034615649725566,91.9415578358209,2.907692393015125,0.52007722,91.70675575,0.07567568,81.65306122,0.0046332,89.66666667,0.03281853,72.54117647,0.02084942,88.74074074,0.34594595,82.79799107,,,"Shota Imanaga",33829,684007
"Sonny Gray","STL","Sonny Gray","STL",2024,34,13,9,3.8416834842072904,28,166.1,10.983968271747605,92.57662771507665,3.8416834842072904,0.41723721,92.56756757,0.20257753,84.80119284,0.17720499,87.74318182,0.13934756,79.97976879,0.0636327,88.35443038,,,,,"Sonny Gray",12768,543243
"Tanner Bibee","CLE","Tanner Bibee","CLE",2024,25,12,8,3.4721691093324223,31,173.2,9.690979454405417,94.68333164915117,3.4721691093324223,0.43739039,94.67522053,0.27849877,86.24055416,,,0.10452473,81.33221477,0.17958611,82.51953125,,,,,"Tanner Bibee",30134,676440
"Tanner Houck","BOS","Tanner Houck","BOS",2024,28,9,10,3.1231345061763083,30,178.2,7.757463128244379,93.7676010131836,3.1231345061763083,0.32394881,93.58803612,0.41352834,83.23430592,0.01462523,87.075,,,,,0.24789762,88.49705015,,,"Tanner Houck",19879,656557
"Tarik Skubal","DET","Tarik Skubal","DET",2024,27,18,4,2.390625,31,192,10.6875,96.99477782943677,2.390625,0.53907886,96.80459016,0.14619679,88.84009547,,,0.0418702,78.53333333,0.27285415,86.34883721,,,,,"Tarik Skubal",22267,669373
"Tyler Anderson","LAA","Tyler Anderson","LAA",2024,34,10,15,3.8141265022285347,31,179.1,7.126394254163841,89.70206429503916,3.8141265022285347,0.42862045,89.40432346,0.00617708,81.27777778,0.19286205,84.21530249,0.00102951,71.66666667,0.37131091,78.98983364,,,,,"Tyler Anderson",12880,542881
"Yusei Kikuchi","- - -","Yusei Kikuchi","- - -",2024,33,9,10,4.047438476657994,32,175.2,10.554080078374009,95.57594159388647,4.047438476657994,0.470065,95.57569141,0.23366404,88.42313324,,,0.18508382,82.48613678,0.11118714,86.77230769,,,,,"Yusei Kikuchi",20633,579328
"Zach Eflin","- - -","Zach Eflin","- - -",2024,30,10,9,3.592741963115369,28,165.1,7.294354894809992,92.63402827099117,3.592741963115369,0.37106661,91.9339207,0.10298324,79.71428571,0.28483858,88.19942611,0.18022068,78.86848073,0.06089089,85.74496644,,,,,"Zach Eflin",13774,621107
"Zack Wheeler","PHI","Zack Wheeler","PHI",2024,34,16,7,2.565,32,200,10.08,95.46789937258687,2.565,0.60497766,95.11181435,0.12316528,84.97927461,0.0976388,91.09803922,0.10114869,81.84227129,,,0.07306956,86.17467249,,,"Zack Wheeler",10310,554430
